playerTag,cards,averageElixir
#PPQYY2P2,"['Royal Giant', 'Skeleton Army', 'Skeleton King', 'Mother Witch', 'Fisherman', 'Fireball', 'Zappies', 'Barbarian Barrel']",3.75
#LV8GLCL9G,"['Battle Ram', 'Inferno Dragon', 'Musketeer', 'Bomber', 'Prince', 'Mega Knight', 'Freeze', 'Zap']",4.0
#JQ08QP9G,"['Musketeer', 'Mortar', 'Goblinstein', 'Knight', 'Giant Snowball', 'Skeletons', 'Ice Spirit', 'Barbarian Barrel']",2.75
#L0JU0GLV0,"['Bomber', 'Zap', 'Giant', 'Prince', 'Arrows', 'Mega Minion', 'Lightning', 'Dark Prince']",3.75
#PU9L9R08,"['Hunter', 'Royal Ghost', 'The Log', 'Fireball', 'Electro Spirit', 'Royal Giant', 'Fisherman', 'Skeletons']",3.0
#9PP92YYL,"['Giant Snowball', 'Cannon', 'Knight', 'Rocket', 'Goblin Drill', 'Bomber', 'Fire Spirit', 'Skeletons']",2.75
#JPCVLRVPQ,"['Goblin Barrel', 'Skeleton Army', 'Knight', 'Dart Goblin', 'Princess', 'Inferno Tower', 'Ice Spirit', 'The Log']",2.875
#2JQ8P02P,"['Battle Ram', 'Wizard', 'Bandit', 'Fireball', 'P.E.K.K.A', 'Electro Wizard', 'Zap', 'Dark Prince']",4.125
#PP8PQU9VY,"['Goblin Barrel', 'Wall Breakers', 'Valkyrie', 'Dart Goblin', 'Berserker', 'Ice Spirit', 'Cannon', 'Vines']",2.625
#9PV8JG208,"['Firecracker', 'Zap', 'Dark Prince', 'Elite Barbarians', 'Sparky', 'Goblin Giant', 'Rage', 'Heal Spirit']",3.75
#9PLUPJQYC,"['Goblin Barrel', 'Skeletons', 'Golden Knight', 'Inferno Tower', 'Electro Spirit', 'Goblin Gang', 'Dart Goblin', 'Princess']",2.875
#2C8YUL0VU,"['Royal Recruits', 'Goblin Cage', 'Royal Hogs', 'Flying Machine', 'Fireball', 'Zappies', 'Arrows', 'Barbarian Barrel']",4.125
#Q92LU0928,"['Battle Ram', 'Royal Ghost', 'Archer Queen', 'Golden Knight', 'P.E.K.K.A', 'Fireball', 'Zap', 'Minions']",4.0
#8UC9090L,"['Mega Knight', 'Zap', 'Goblin Gang', 'Electro Wizard', 'Hog Rider', 'Firecracker', 'Mini P.E.K.K.A', 'Dark Prince']",3.875
#20QG8V9UP,"['Dark Prince', 'Barbarian Barrel', 'Tornado', 'Freeze', 'Barbarian Hut', 'Baby Dragon', 'Mega Minion', 'Graveyard']",3.875
#8LY8YYVYV,"['Giant Snowball', 'Cannon', 'Goblin Drill', 'Skeletons', 'Bomber', 'Berserker', 'Fire Spirit', 'Rocket']",2.625
#90JRLCRQ,"['Mortar', 'Skeleton Barrel', 'Musketeer', 'Knight', 'Fireball', 'Skeletons', 'Minions', 'Barbarian Barrel']",3.0
#8Q9LPLY9G,"['Witch', 'Skeleton Army', 'Dart Goblin', 'Giant Skeleton', 'Tornado', 'Minions', 'Skeleton Barrel', 'Clone']",3.625
#PQQP0PVRR,"['Cannon', 'Firecracker', 'Mighty Miner', 'Electro Spirit', 'Skeletons', 'Hog Rider', 'Barbarian Barrel', 'Earthquake']",2.625
#9CP2982PJ,"['Skeletons', 'Musketeer', 'Bomb Tower', 'Ice Golem', 'Giant Snowball', 'Barbarian Barrel', 'Balloon', 'Miner']",2.875
#2CG2RLUV,"['Skeleton Army', 'Royal Ghost', 'Fisherman', 'Zappies', 'Mother Witch', 'Royal Hogs', 'Arrows', 'Giant Skeleton']",3.875
#9J00GQVUL,"['Baby Dragon', 'Electro Dragon', 'Mini P.E.K.K.A', 'Golden Knight', 'Golem', 'Tornado', 'Barbarian Barrel', 'Elixir Collector']",4.5
#2RJ88Y0U8,"['Archers', 'Tesla', 'Skeletons', 'The Log', 'X-Bow', 'Electro Spirit', 'Mini P.E.K.K.A', 'Fireball']",3.125
#2U0JUQRUG,"['Zap', 'Goblin Giant', 'Mini P.E.K.K.A', 'Dark Prince', 'Mega Minion', 'Rage', 'Sparky', 'Mother Witch']",3.875
#JJCL0UQ2,"['Royal Recruits', 'Archers', 'Spirit Empress', 'Wall Breakers', 'Skeleton Barrel', 'Goblin Gang', 'Lightning', 'Arrows']",4.125
#URQ89UPQ,"['Lumberjack', 'Battle Ram', 'Archer Queen', 'Rage', 'Bandit', 'Arrows', 'Elite Barbarians', 'Heal Spirit']",3.5
#RQ0J8GLLJ,"['Battle Ram', 'Zap', 'Knight', 'P.E.K.K.A', 'Fireball', 'Royal Ghost', 'Magic Archer', 'Electro Wizard']",3.875
#U0VJ28RU0,"['Royal Giant', 'Skeletons', 'Monk', 'Musketeer', 'Rage', 'Electro Spirit', 'Fisherman', 'Lightning']",3.5
#2RUPUYJ2R,"['Firecracker', 'Goblin Barrel', 'Giant Skeleton', 'Rocket', 'Poison', 'Baby Dragon', 'Bowler', 'Tornado']",4.25
#2UUG0UYU,"['Giant Snowball', 'Royal Ghost', 'Rocket', 'Golden Knight', 'Cannon Cart', 'Princess', 'Rascals', 'Goblin Barrel']",3.875
#2RUYRGR0Q,"['Tesla', 'Skeletons', 'Archer Queen', 'Knight', 'Fireball', 'X-Bow', 'Electro Spirit', 'The Log']",3.25
#2PYQQYUJ9,"['Cannon', 'Musketeer', 'Skeletons', 'Ice Golem', 'Fireball', 'Hog Rider', 'Ice Spirit', 'The Log']",2.625
#CR008GQYV,"['Cannon', 'Firecracker', 'Mighty Miner', 'Earthquake', 'The Log', 'Hog Rider', 'Skeletons', 'Ice Spirit']",2.625
#YUPPPVY8Y,"['Skeleton Barrel', 'Mortar', 'Knight', 'Fireball', 'Dart Goblin', 'Minions', 'Skeletons', 'Barbarian Barrel']",2.875
#9QPQURG9C,"['Goblin Cage', 'Royal Recruits', 'Royal Hogs', 'Flying Machine', 'Zappies', 'Arrows', 'Electro Spirit', 'Barbarian Barrel']",3.75
#88R0JU8,"['Mortar', 'Knight', 'Goblin Gang', 'Barbarian Barrel', 'Musketeer', 'Skeleton Barrel', 'Spear Goblins', 'Fireball']",3.125
#CCYP992CJ,"['Valkyrie', 'Executioner', 'Golden Knight', 'Mini P.E.K.K.A', 'Golem', 'Zappies', 'Vines', 'Minions']",4.375
#LRJ9U82RC,"['Valkyrie', 'Executioner', 'Hog Rider', 'Ice Spirit', 'Goblins', 'The Log', 'Tornado', 'Rocket']",3.375
#2C88LCCUP,"['Valkyrie', 'Baby Dragon', 'Bowler', 'Goblin Hut', 'Electro Giant', 'Tornado', 'Lightning', 'Barbarian Barrel']",4.375
#9U2GQ0VQ9,"['Cannon', 'Skeletons', 'Musketeer', 'Ice Golem', 'Hog Rider', 'Ice Spirit', 'The Log', 'Fireball']",2.625
