tag,name,trophies,explevel,arena,clan
#22U9C0GP9,Umed Gurjar,10000,62,Legendary Arena,India
#UJLGL8PVL,brad d oil,10000,69,Lumberlove Cabin,goon academy
#LGQYYYCVY,BFM❤️Abhishek,11201,61,Musketeer Street,Beg For Mercy
#GJYPYYGR,Excalibur,10000,72,Lumberlove Cabin,Stars Elite
#8P8YQ2PY,don & john,10000,72,Lumberlove Cabin,Chain SmokerS
#8902RCLJ,Krish Ajmera,10030,73,Lumberlove Cabin,TapuXRoy
#2PJPURJPR,NØ RØY,9963,78,Legendary Arena,No Clan
#P899CY8U,★L̸e̸g̸e̸n̸d̸☆,10510,72,Royal Road,HARD INDIANS...
#RLG00JR9,Navjot,11679,77,Summit of Heroes,Dr. Carter
#2PJURUQ9,Tanay_18,10243,69,Lumberlove Cabin,No Contest
#9J092U8,Patapon,10736,66,Royal Road,Clan Ryli
#2Y0CJ9RYU,Nutty Putty,10000,64,Lumberlove Cabin,Maritime Era.
#CQ882QP8G,felix,10000,60,Lumberlove Cabin,Samenbomber
#P900029C8,Drex,6687,65,Silent Sanctuary,No Clan
#VC22LPRQR,Aryan,10240,65,Lumberlove Cabin,AL Zenith
#P2JPGJUCU,Neel,10864,75,Royal Road,braddady
#8G9GJQRVQ,DK,11557,78,Summit of Heroes,☠️GÁLÂT CLÃN☠️✨
#99URCGU0V,IA❤️FALAK,11033,78,Musketeer Street,BeingHuman
#2PPPLU0RQ,Tamil™,11345,76,Musketeer Street,Beg For Mercy
#8QQUYY9PG,SIRUS✨️,11002,68,Musketeer Street,No Clan
#G8YYPQG2U,BFM❤️Ronin,10061,72,Lumberlove Cabin,Beg For Mercy
#9JYR0CLR9,GrimReaper,11000,68,Musketeer Street,Clanberry
#RJJ2GC0J,ELECTRO GIANT™,10637,74,Royal Road,INDIAN SLAYERS
#PVL2PVQ9C,ⱠɆ₲Ɇ₦Đ₳ⱤɎ₲Ø₲,11500,75,Summit of Heroes,ELITE INDIANS
#LQY0VG0VG,4>wms,10030,67,Lumberlove Cabin,Mortar Cycle
#PPQYY2P2,✨Sagar✨,10647,73,Royal Road,KING OF NIGHT
#LV8GLCL9G,BFM❤️STORM✨,11000,73,Musketeer Street,Beg For Mercy
#JQ08QP9G,RIZAL,10235,66,Lumberlove Cabin,Marco'sBasement
#L0JU0GLV0,sonu uttrakhand,10614,73,Royal Road,ELITE INDIANS
#PU9L9R08,I'mOnFire,10000,72,Lumberlove Cabin,ROYALE VILLAGE™
#9PP92YYL,berserk✨魔神,10292,71,Lumberlove Cabin,Night Kingdom™️
#JPCVLRVPQ,Sirus♥️Alone,10000,56,Lumberlove Cabin,HARD INDIANS...
#2JQ8P02P,POKEMASTER SAP,10148,61,Lumberlove Cabin,Shirley Setia
#PP8PQU9VY,AJ Styles,11036,75,Musketeer Street,Les Québécois
#9PV8JG208,NOVA | YUSH,10000,55,Lumberlove Cabin,♣️Eclipse™️
#9PLUPJQYC,PureGamer کشمیر,10616,70,Royal Road,WinterRose
#2C8YUL0VU,The Legend,11034,77,Musketeer Street,Indian force
#Q92LU0928,TG❤️ASAP,10815,74,Royal Road,Tamil Gang
#8UC9090L,Madara Uchiha,10000,61,Lumberlove Cabin,KHOONI DARINDEY
#20QG8V9UP,moksh,10000,60,Lumberlove Cabin,The Titans Zonk
#8LY8YYVYV,ＳＨＡＤＹ✨七転び八起き,10510,71,Royal Road,☠️GÁLÂT CLÃN☠️✨
#90JRLCRQ,light,11298,81,Musketeer Street,The Titans Zonk
#8Q9LPLY9G,ミᶦᶰᵈPяa†ik龍™,11305,76,Musketeer Street,ELITE INDIANS
#PQQP0PVRR,Anirudh,10359,68,Lumberlove Cabin,i!!i
#9CP2982PJ,❄️MAJORxFrost☃️,9060,67,Valkalla,ROGUE WARRIORS
#2CG2RLUV,丈夫Glad✨,10150,76,Lumberlove Cabin,Same Ol' Fig
#9J00GQVUL,Aun,10679,78,Royal Road,GoldFlake KINGS
#2RJ88Y0U8,AK$H@T PATEL,10801,66,Royal Road,The Falcons
#2U0JUQRUG,Mojo Jojo ☠️☠️,10329,71,Lumberlove Cabin,CZ ARMY
#JJCL0UQ2,Tyson,11129,75,Musketeer Street,A A
#URQ89UPQ,krrish,10000,66,Lumberlove Cabin,No Clan
#RQ0J8GLLJ,king CR,10766,73,Royal Road,yt : king cr
#U0VJ28RU0,❤️月满西楼❤️,11527,78,Summit of Heroes,⚜️無与伦比⚜️
#2RUPUYJ2R,Sanjay Gurjar,10000,66,Legendary Arena,No Clan
#2UUG0UYU,Drogba11,11057,74,Musketeer Street,Citrine I
#2RUYRGR0Q,ASSASINATOR,11405,78,Musketeer Street,YT:ArcherMaster
#2PYQQYUJ9,Yash I ヤシュ,10506,63,Royal Road,Room 122
#CR008GQYV,EDITH,10330,68,Lumberlove Cabin,HARD INDIANS...
#YUPPPVY8Y,BFM❤️__Histe__,10603,70,Royal Road,Beg For Mercy
#9QPQURG9C,Shivananda,11193,78,Musketeer Street,Serious Noobs
#88R0JU8,dojo,10000,66,Legendary Arena,No Clan
#CCYP992CJ,RR丨FRICE,11007,74,Musketeer Street,Night Kingdom™️
#LRJ9U82RC,Delacróix,10000,71,Lumberlove Cabin,COAST
#2C88LCCUP,The Red Devil,10911,76,Royal Road,Cunning Savages
#9U2GQ0VQ9,<c4>YsoCERIOUS?,10030,73,Lumberlove Cabin,No Clan
#2Y0RPPVCJ,ishu,10686,64,Royal Road,M3
#LCPP98U9G,VALKYRIE LOVER,10061,71,Lumberlove Cabin,INDIANS
#YPJGUGRP0,Popcorn,10299,75,Lumberlove Cabin,INDIAN LIONS
#2QGUG88JU,Tyler Blaze,10174,76,Lumberlove Cabin,Game of War OGs
#PJVUCYU0,vinay,11124,80,Musketeer Street,INDIAN LIONS
#L8V82JY0V,JS-,10729,76,Royal Road,Vitamin Shop
#8LUV82L9J,GodFather,10000,67,Legendary Arena,royal indians
#Q0UVCQLL8,Jerome2.0♟️,10000,70,Lumberlove Cabin,TABANCA
#8L0YUC2PP,Đ₳ⱤҜꭘ฿乇₳₴T̷,10000,65,Legendary Arena,No Clan
#PVQ8R9RQC,knight rider,10530,64,Royal Road,Beg For Mercy
#28022PYGC,Daddy❤️Ur Mom,10030,69,Lumberlove Cabin,DRAGONS
#Q9UURPUGP,ELiTE,10763,71,Royal Road,strawhatpirates
#2QLRVVLGC,FE4Я I Ł→ūpiИ™,10341,70,Lumberlove Cabin,INFERNO
#L0Y2CPVQ,Spider-Man,10590,74,Royal Road,Meow
#LCC8Q90R8,✨Isolated™,10559,61,Royal Road,백전백승
#J8VVU282,Santhosh Sivan,11025,78,Musketeer Street,Tamil Gang
#Q80U2UUUQ,Muthu,10607,69,Royal Road,WELT ESPORTS
#Q208VRGJ8,deathnoteuk07,10000,67,Lumberlove Cabin,INDIAN ARMY
#PYCYUC9G0,CR❤️CHAMP YT,11000,70,Musketeer Street,CR CHAMP ARMY
#U98U22QQP,Classy✨️,10001,65,Lumberlove Cabin,PEAKY♨️BLINDERS
#PP9U0GYYL,Master★Miner,10000,62,Legendary Arena,No Clan
#U2UP8CR8Y,rrrr,10551,62,Royal Road,THE IMMORTAL 50
#90LG9L98,om,10944,75,Royal Road,THE IMMORTAL 50
#2RYUPRP0J,Inferno Dragon,10810,76,Royal Road,THE IMMORTAL 50
#VRL2J8LY,DarshisGoD,10555,73,Royal Road,Tactical Tilt
#P920JGLG2,✨卩|ㄚㄩ丂卄❦︎,10500,63,Royal Road,THE IMMORTAL 50
#QJCYV900V,-BANKSY-,10187,70,Lumberlove Cabin,papuuuu
#2V09JR22Y,I ME MYSELF,10000,59,Lumberlove Cabin,No Clan
#CVC89LVJ,GamedegreeYT,10648,76,Royal Road,THE IMMORTAL 50
#GUVYCCCLU,world king,10153,60,Lumberlove Cabin,THE IMMORTAL 50
#YL0ULQUL,RISHABH-my,10173,57,Lumberlove Cabin,THE IMMORTAL 50
#2889QYJ9G,chirag is new,10152,60,Lumberlove Cabin,India
#LG9LQYJR9,RAgsTooRich,10269,55,Lumberlove Cabin,1 INDIA
#PLL8U9QCV,saksham,10308,63,Lumberlove Cabin,THE IMMORTAL 50
#9LPR9PVQ,I_AM_SWAPY,10894,68,Royal Road,THE IMMORTAL 50
#2Q0J92R0L,wreckツ,10119,57,Lumberlove Cabin,No Clan
#G8QJCCP0G,_MIHAWK_,10256,60,Lumberlove Cabin,THE IMMORTAL 50
#G2UG0UP,GoJĪTa,10429,69,Lumberlove Cabin,THE IMMORTAL 50
#9QRPYC9PY,TAMILAN,10120,54,Lumberlove Cabin,THE IMMORTAL 50
#VYYG20RQV,Efxakshut,10120,51,Lumberlove Cabin,Andhra
#LYUJLUJ2C,《★Baba Yaga★》,10118,58,Lumberlove Cabin,THE IMMORTAL 50
#L9VJC989V,Darshan,10328,64,Lumberlove Cabin,THE IMMORTAL 50
#CLRULYP,SANDIP,10174,69,Lumberlove Cabin,THE IMMORTAL 50
#9PJQ0VRY,ਗਿੱਲ,10267,69,Lumberlove Cabin,THE IMMORTAL 50
#PV9QV0CJC,cprakash,10270,64,Lumberlove Cabin,THE IMMORTAL 50
#GLQLRUR00,punisher,10536,68,Royal Road,2.6 HOG™
#90QVPCUC9,Parth,10151,59,Lumberlove Cabin,THE IMMORTAL 50
